2025-12-01 11:46:25.431 [main] [traceId=NO_TRACE] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'eventController' defined in file [/home/sebitaslovelace/Escritorio/UH_Eventos/target/classes/com/UH/OtherLevel/infrastructure/adapter/in/web/controller/EventController.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'createEventUseCase' defined in class path resource [com/UH/OtherLevel/infrastructure/adapter/config/ApplicationConfig.class]: Unsatisfied dependency expressed through method 'createEventUseCase' parameter 0: Error creating bean with name 'eventRepositoryAdapter' defined in file [/home/sebitaslovelace/Escritorio/UH_Eventos/target/classes/com/UH/OtherLevel/infrastructure/adapter/out/persistence/adapter/EventRepositoryAdapter.class]: Unsatisfied dependency expressed through constructor parameter 1: No qualifying bean of type 'com.UH.OtherLevel.infrastructure.adapter.out.persistence.mapper.EventEntityMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
2025-12-01 11:46:25.434 [main] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-01 11:46:25.494 [main] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-01 11:46:25.513 [main] [traceId=NO_TRACE] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-01 11:46:25.645 [main] [traceId=NO_TRACE] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Parameter 1 of constructor in com.UH.OtherLevel.infrastructure.adapter.out.persistence.adapter.EventRepositoryAdapter required a bean of type 'com.UH.OtherLevel.infrastructure.adapter.out.persistence.mapper.EventEntityMapper' that could not be found.


Action:

Consider defining a bean of type 'com.UH.OtherLevel.infrastructure.adapter.out.persistence.mapper.EventEntityMapper' in your configuration.

